Job 1, burst time: 5, waiting time: 62
Job 2, burst time: 33, waiting time: 360
Job 3, burst time: 22, waiting time: 250
Job 4, burst time: 66, waiting time: 526
Job 5, burst time: 22, waiting time: 254
Job 6, burst time: 44, waiting time: 425
Job 7, burst time: 33, waiting time: 365
Job 8, burst time: 88, waiting time: 594
Job 9, burst time: 33, waiting time: 368
Job 10, burst time: 55, waiting time: 489
Job 11, burst time: 6, waiting time: 81
Job 12, burst time: 7, waiting time: 109
Job 13, burst time: 1, waiting time: 24
Job 14, burst time: 8, waiting time: 110
Job 15, burst time: 333, waiting time: 1088
Job 16, burst time: 444, waiting time: 1199
Job 17, burst time: 1, waiting time: 31
Job 18, burst time: 500, waiting time: 1201
