Job 1, burst time: 66, waiting time: 346
Job 2, burst time: 4, waiting time: 52
Job 3, burst time: 3, waiting time: 54
Job 4, burst time: 2, waiting time: 6
Job 5, burst time: 4, waiting time: 55
Job 6, burst time: 5, waiting time: 88
Job 7, burst time: 33, waiting time: 288
Job 8, burst time: 33, waiting time: 289
Job 9, burst time: 44, waiting time: 322
Job 10, burst time: 5, waiting time: 95
Job 11, burst time: 2, waiting time: 20
Job 12, burst time: 4, waiting time: 67
Job 13, burst time: 2, waiting time: 24
Job 14, burst time: 2, waiting time: 26
Job 15, burst time: 4, waiting time: 69
Job 16, burst time: 2, waiting time: 30
Job 17, burst time: 5, waiting time: 96
Job 18, burst time: 44, waiting time: 324
Job 19, burst time: 33, waiting time: 294
Job 20, burst time: 33, waiting time: 295
Job 21, burst time: 5, waiting time: 103
Job 22, burst time: 4, waiting time: 81
Job 23, burst time: 2, waiting time: 44
Job 24, burst time: 3, waiting time: 83
Job 25, burst time: 4, waiting time: 84
Job 26, burst time: 66, waiting time: 348
